file,precision,recall,f1_score,map50,map50-95,tp,fp,fn,segmentation_time
2_Z1_cut_8-4_1913499344692005,0.660377358490566,0.7608695652173914,0.7070707070707071,0.48027444253859347,0.1874785591766724,35,18,11,0.1319494247436523
2_Z1_cut_9-10_9043250327654,0.8773584905660378,0.9117647058823529,0.8942307692307693,0.7975986277873072,0.4060034305317323,93,13,9,0.1864850521087646
LadoOposto_850_Arv1_15m_cut_0-8_593639575971732,0.8461538461538461,1.0,0.9166666666666666,0.8461538461538463,0.5153846153846154,11,2,0,0.0652425289154052
LadoOposto_850_Arv1_15m_cut_1-8_593639575971732,0.8,0.8888888888888888,0.8421052631578948,0.6545454545454545,0.28727272727272724,24,6,3,0.0984804630279541
LadoOposto_850_Arv1_15m_cut_10-8_593639575971732,0.8260869565217391,0.95,0.8837209302325583,0.7509881422924901,0.37430830039525687,19,4,1,0.0697357654571533
LadoOposto_850_Arv1_15m_cut_11-8_593639575971732,0.8,0.8695652173913043,0.8333333333333333,0.6545454545454545,0.2534545454545455,20,5,3,0.0972793102264404
LadoOposto_850_Arv1_15m_cut_12-8_593639575971732,0.8181818181818182,0.9473684210526315,0.8780487804878049,0.743801652892562,0.35371900826446284,18,4,1,0.0798828601837158
LadoOposto_850_Arv1_15m_cut_13-8_593639575971732,0.8695652173913043,0.7692307692307693,0.8163265306122449,0.6324110671936759,0.22924901185770752,20,3,6,0.1528799533843994
LadoOposto_850_Arv1_15m_cut_14-8_593639575971732,0.7,0.8076923076923077,0.75,0.5727272727272728,0.19121212121212122,21,9,5,0.0958683490753173
LadoOposto_850_Arv1_15m_cut_15-8_593639575971732,0.6296296296296297,0.6538461538461539,0.6415094339622641,0.4006734006734007,0.12053872053872054,17,10,9,0.0813748836517334
LadoOposto_850_Arv1_15m_cut_16-8_593639575971732,0.88,0.8461538461538461,0.8627450980392156,0.72,0.27454545454545454,22,3,4,0.0656497478485107
LadoOposto_850_Arv1_15m_cut_17-7_250883392226148,0.6521739130434783,0.8333333333333334,0.7317073170731708,0.5335968379446641,0.1877470355731225,15,8,3,0.0645477771759033
LadoOposto_850_Arv1_15m_cut_18-8_593639575971732,0.7272727272727273,0.8,0.761904761904762,0.5950413223140496,0.20165289256198346,24,9,6,0.0886421203613281
LadoOposto_850_Arv1_15m_cut_19-8_593639575971732,0.7777777777777778,0.9032258064516129,0.835820895522388,0.7070707070707071,0.35555555555555557,28,8,3,0.086268663406372
LadoOposto_850_Arv1_15m_cut_2-8_593639575971732,0.76,0.7307692307692307,0.7450980392156863,0.5527272727272727,0.23672727272727273,19,6,7,0.0775516033172607
LadoOposto_850_Arv1_15m_cut_20-8_593639575971732,0.8333333333333334,0.8928571428571429,0.8620689655172413,0.6818181818181818,0.30848484848484853,25,5,3,0.0828135013580322
LadoOposto_850_Arv1_15m_cut_21-8_593639575971732,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.7053291536050156,0.2815047021943574,25,4,4,0.0723655223846435
LadoOposto_850_Arv1_15m_cut_22-8_593639575971732,0.71875,0.8846153846153846,0.7931034482758621,0.5880681818181818,0.2673295454545454,23,9,3,0.0815579891204834
LadoOposto_850_Arv1_15m_cut_23-8_593639575971732,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.5594405594405595,0.17995337995337998,30,9,9,0.1077678203582763
LadoOposto_850_Arv1_15m_cut_24-8_593639575971732,0.7608695652173914,0.8333333333333334,0.7954545454545455,0.6225296442687748,0.17667984189723324,35,11,7,0.1009578704833984
LadoOposto_850_Arv1_15m_cut_25-8_593639575971732,0.7906976744186046,0.8095238095238095,0.8,0.6469344608879491,0.23382663847780125,34,9,8,0.0937740802764892
LadoOposto_850_Arv1_15m_cut_26-7_250883392226148,0.8,1.0,0.888888888888889,0.8,0.4149999999999999,16,4,0,0.0644679069519043
LadoOposto_850_Arv1_15m_cut_27-8_593639575971732,1.0,1.0,1.0,1.0,0.2,1,0,0,0.0
LadoOposto_850_Arv1_15m_cut_28-8_593639575971732,1.0,1.0,1.0,1.0,0.9,1,0,0,0.0190527439117431
LadoOposto_850_Arv1_15m_cut_29-8_593639575971732,1.0,1.0,1.0,1.0,0.3,1,0,0,0.0123329162597656
LadoOposto_850_Arv1_15m_cut_3-8_593639575971732,0.7586206896551724,0.88,0.8148148148148148,0.6206896551724138,0.3413793103448276,22,7,3,0.0908763408660888
LadoOposto_850_Arv1_15m_cut_30-8_593639575971732,1.0,1.0,1.0,1.0,0.65,2,0,0,0.0049993991851806
LadoOposto_850_Arv1_15m_cut_31-8_593639575971732,1.0,1.0,1.0,1.0,0.6,1,0,0,0.0040793418884277
LadoOposto_850_Arv1_15m_cut_32-8_593639575971732,0.5,1.0,0.6666666666666666,0.5,0.3,1,1,0,0.0050098896026611
LadoOposto_850_Arv1_15m_cut_33-8_593639575971732,1.0,1.0,1.0,1.0,0.8,1,0,0,0.004995584487915
LadoOposto_850_Arv1_15m_cut_4-8_593639575971732,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.6428571428571428,0.22824675324675323,22,6,4,0.0705130100250244
LadoOposto_850_Arv1_15m_cut_5-8_593639575971732,0.9333333333333333,0.875,0.9032258064516129,0.7636363636363637,0.2809090909090909,28,2,4,0.083275556564331
LadoOposto_850_Arv1_15m_cut_6-8_593639575971732,0.7837837837837838,0.8529411764705882,0.8169014084507041,0.6412776412776413,0.24619164619164619,29,8,5,0.1154193878173828
LadoOposto_850_Arv1_15m_cut_7-8_593639575971732,0.7419354838709677,0.7931034482758621,0.7666666666666667,0.5395894428152492,0.24310850439882695,23,8,6,0.0516941547393798
LadoOposto_850_Arv1_15m_cut_8-7_250883392226148,0.6428571428571429,0.9,0.75,0.5844155844155845,0.22142857142857145,18,10,2,0.0662150382995605
LadoOposto_850_Arv1_15m_cut_9-8_593639575971732,0.95,0.95,0.9500000000000001,0.8636363636363634,0.42681818181818176,19,1,1,0.0699074268341064
