method,precision,recall,f1-score,map50,map50-95,tp,fp,fn,segmentation_time
2_Z1_cut_640_0-4_1913499344692005,0.1724137931034483,0.15625,0.1639344262295082,0.031347962382445145,0.005329153605015674,5,24,27,0.6921546459197998
2_Z1_cut_640_1280-4_1913499344692005,0.11538461538461539,0.06382978723404255,0.0821917808219178,0.01048951048951049,0.0013986013986013986,3,23,44,0.4208621978759765
2_Z1_cut_640_1600-4_1913499344692005,0.27586206896551724,0.15384615384615385,0.19753086419753088,0.050156739811912224,0.013479623824451411,8,21,44,0.4337542057037353
2_Z1_cut_640_1920-4_1913499344692005,0.22727272727272727,0.12195121951219512,0.15873015873015872,0.04132231404958678,0.008264462809917356,5,17,36,0.7308809757232666
2_Z1_cut_640_320-4_1913499344692005,0.25,0.13953488372093023,0.1791044776119403,0.045454545454545456,0.006818181818181818,6,18,37,0.4195830821990967
2_Z1_cut_640_640-4_1913499344692005,0.17391304347826086,0.08888888888888889,0.11764705882352941,0.015810276679841896,0.00592885375494071,4,19,41,0.4177460670471191
2_Z1_cut_640_960-4_1913499344692005,0.11764705882352941,0.043478260869565216,0.06349206349206349,0.0106951871657754,0.0010695187165775401,2,15,44,0.3986656665802002
LadoOposto_850_Arv1_15m_cut_0_0-8_593639575971732,0.5714285714285714,0.4,0.47058823529411764,0.2597402597402597,0.09870129870129869,4,3,6,0.4318599700927734
LadoOposto_850_Arv1_15m_cut_0_320-8_593639575971732,0.6363636363636364,0.4117647058823529,0.5,0.2892561983471074,0.04380165289256198,7,4,10,0.4087424278259277
LadoOposto_850_Arv1_15m_cut_0_640-8_593639575971732,0.4375,0.23333333333333334,0.3043478260869565,0.11931818181818182,0.047159090909090914,7,9,23,0.4100770950317383
LadoOposto_850_Arv1_15m_cut_0_960-8_593639575971732,0,0.0,0,0.0,0.0,0,0,1,0.5738508701324463
LadoOposto_850_Arv1_15m_cut_1280_0-8_593639575971732,0.5238095238095238,0.5,0.5116279069767442,0.28571428571428575,0.07012987012987014,11,10,11,0.4791145324707031
LadoOposto_850_Arv1_15m_cut_1280_320-8_593639575971732,0.5294117647058824,0.42857142857142855,0.4736842105263158,0.24064171122994651,0.057219251336898404,9,8,12,0.4303569793701172
LadoOposto_850_Arv1_15m_cut_1280_640-8_593639575971732,0.47619047619047616,0.4166666666666667,0.4444444444444445,0.21645021645021645,0.050216450216450215,10,11,14,0.5576772689819336
LadoOposto_850_Arv1_15m_cut_1280_960-8_593639575971732,0,0.0,0,0.0,0.0,0,0,1,0.4004890918731689
LadoOposto_850_Arv1_15m_cut_1600_0-8_593639575971732,0.5238095238095238,0.4583333333333333,0.4888888888888889,0.2380952380952381,0.07835497835497836,11,10,13,0.4125459194183349
LadoOposto_850_Arv1_15m_cut_1600_320-8_593639575971732,0.5555555555555556,0.37037037037037035,0.4444444444444445,0.20202020202020202,0.048989898989898986,10,8,17,0.4349455833435058
LadoOposto_850_Arv1_15m_cut_1600_640-8_593639575971732,0.4666666666666667,0.4375,0.45161290322580644,0.21212121212121213,0.03727272727272728,14,16,18,0.4216837882995605
LadoOposto_850_Arv1_15m_cut_1600_960-8_593639575971732,0,0.0,0,0.0,0.0,0,0,2,0.3846879005432129
LadoOposto_850_Arv1_15m_cut_1920_0-8_593639575971732,0.6153846153846154,0.5,0.5517241379310345,0.3356643356643357,0.08146853146853147,16,10,16,0.4469928741455078
LadoOposto_850_Arv1_15m_cut_1920_320-8_593639575971732,0.47058823529411764,0.2962962962962963,0.3636363636363636,0.1283422459893048,0.029946524064171125,8,9,19,0.4098098278045654
LadoOposto_850_Arv1_15m_cut_1920_640-8_593639575971732,0.5862068965517241,0.4146341463414634,0.48571428571428565,0.2664576802507837,0.06300940438871475,17,12,24,0.4333004951477051
LadoOposto_850_Arv1_15m_cut_1920_960-8_593639575971732,0,0.0,0,0.0,0.0,0,0,1,0.3890364170074463
LadoOposto_850_Arv1_15m_cut_2240_0-8_593639575971732,0.3684210526315789,0.28,0.3181818181818182,0.10047846889952151,0.02200956937799043,7,12,18,0.5815792083740234
LadoOposto_850_Arv1_15m_cut_2240_320-8_593639575971732,0.4444444444444444,0.42105263157894735,0.43243243243243246,0.20202020202020202,0.04242424242424243,8,10,11,0.4402511119842529
LadoOposto_850_Arv1_15m_cut_2240_640-8_593639575971732,0.3448275862068966,0.3125,0.3278688524590164,0.12539184952978058,0.023510971786833857,10,19,22,0.4993658065795898
LadoOposto_850_Arv1_15m_cut_2560_0-7_250883392226148,0.4117647058823529,0.35,0.37837837837837834,0.1497326203208556,0.04224598930481284,7,10,13,0.6819179058074951
LadoOposto_850_Arv1_15m_cut_2560_320-7_250883392226148,0.46153846153846156,0.3157894736842105,0.37499999999999994,0.16783216783216784,0.04265734265734266,6,7,13,0.4421184062957763
