                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.65081,                0.62807,                0.36337,                0.78022,                0.99622,                0.82981,                0.91218,                0.79472,                0.92758,                 0.7718,                0.85024,                0.50618,                0.57296,                0.64377,                0.36908,                0.78493,                0.00101,                0.00101,                0.00101
                     52,                0.64812,                0.62661,                0.36662,                0.77981,                0.99568,                   0.83,                0.91311,                0.80919,                0.92388,                0.76856,                0.84652,                0.49589,                0.47585,                0.62091,                0.33164,                0.77932,              0.0009902,              0.0009902,              0.0009902
                     53,                0.64716,                0.62864,                0.35847,                0.78024,                 0.9961,                0.82978,                 0.9055,                0.77771,                0.92652,                0.77062,                0.84893,                0.50363,                0.58663,                0.62632,                0.34529,                 0.7836,              0.0009704,              0.0009704,              0.0009704
                     54,                 0.6556,                0.62867,                 0.3628,                0.78025,                0.99658,                0.83045,                0.91164,                0.78836,                0.92911,                0.77405,                 0.8524,                0.50103,                0.54429,                0.65536,                0.36458,                 0.7823,              0.0009506,              0.0009506,              0.0009506
                     55,                0.65524,                 0.6289,                0.36589,                0.78005,                0.99596,                0.83013,                 0.9123,                0.79724,                0.92475,                0.76944,                0.84815,                0.50175,                0.55943,                0.59323,                0.34203,                0.78236,              0.0009308,              0.0009308,              0.0009308
                     56,                0.63183,                0.61945,                0.35213,                0.78031,                 0.9949,                0.82447,                0.91079,                0.83691,                0.92461,                0.76644,                 0.8463,                0.51227,                0.42145,                0.59792,                0.32725,                0.77664,               0.000911,               0.000911,               0.000911
                     57,                0.64273,                0.62272,                0.35835,                0.77986,                0.99605,                0.82977,                0.91233,                0.79958,                0.92764,                0.77208,                0.84559,                0.50307,                0.50055,                0.60821,                 0.3482,                0.77894,              0.0008912,              0.0008912,              0.0008912
                     58,                0.65239,                0.62881,                0.35537,                0.78136,                0.99625,                0.83011,                0.91093,                0.80866,                0.92904,                0.77328,                0.85113,                 0.5061,                0.52178,                0.62822,                0.34372,                0.77944,              0.0008714,              0.0008714,              0.0008714
                     59,                0.65407,                0.62168,                0.34697,                0.77987,                0.99615,                0.83003,                0.91169,                0.80931,                0.92409,                0.76885,                0.85677,                0.50923,                0.49456,                0.61122,                0.31797,                 0.7782,              0.0008516,              0.0008516,              0.0008516
                     60,                0.63322,                 0.6191,                 0.3537,                0.77922,                0.99643,                0.83052,                0.91171,                0.80693,                0.93057,                0.77466,                0.84722,                0.50996,                0.47879,                0.62813,                0.33674,                0.77863,              0.0008318,              0.0008318,              0.0008318
                     61,                0.62628,                 0.6097,                0.35138,                0.77905,                0.99611,                 0.8303,                0.91328,                0.82244,                0.93024,                0.77405,                 0.8569,                0.52262,                 0.4979,                0.60997,                0.32749,                 0.7797,               0.000812,               0.000812,               0.000812
                     62,                0.63347,                 0.6161,                0.34622,                 0.7797,                0.99622,                0.83002,                0.91213,                0.78292,                0.92605,                0.77117,                0.85139,                0.49591,                0.57482,                0.65153,                0.35768,                0.78311,              0.0007922,              0.0007922,              0.0007922
                     63,                0.62799,                0.61448,                0.34451,                0.77923,                0.99577,                 0.8297,                0.91276,                0.77448,                0.91687,                0.76285,                0.84422,                0.48545,                0.59082,                0.63323,                0.35002,                0.78376,              0.0007724,              0.0007724,              0.0007724
                     64,                0.62179,                0.60461,                 0.3455,                0.77981,                0.99604,                 0.8301,                0.91173,                0.80139,                0.93049,                0.77436,                0.84915,                0.49698,                0.52698,                0.63548,                0.33848,                0.78171,              0.0007526,              0.0007526,              0.0007526
                     65,                0.62417,                0.60368,                0.34029,                0.77812,                0.99571,                0.82987,                0.91324,                0.75234,                0.91941,                0.76521,                0.84201,                0.46216,                0.67065,                0.72127,                0.36993,                0.78889,              0.0007328,              0.0007328,              0.0007328
                     66,                0.62073,                0.59756,                0.34165,                0.77882,                0.99612,                0.83052,                0.91226,                0.77846,                0.92206,                0.76838,                0.84437,                0.48499,                0.59161,                0.66239,                0.35607,                0.78398,               0.000713,               0.000713,               0.000713
                     67,                0.61637,                0.59862,                0.34403,                0.77855,                0.99618,                0.83002,                0.91293,                0.80368,                0.92097,                0.76572,                0.84204,                0.49577,                0.48501,                  0.642,                 0.3345,                0.77913,              0.0006932,              0.0006932,              0.0006932
                     68,                0.61232,                0.59125,                0.33489,                0.77847,                0.99612,                0.83039,                0.91323,                0.79644,                0.92205,                0.76724,                0.84686,                0.48093,                0.52121,                0.66813,                0.34195,                0.78087,              0.0006734,              0.0006734,              0.0006734
                     69,                0.60947,                0.59672,                0.33185,                0.77897,                0.99582,                0.83049,                0.91348,                0.77204,                0.91888,                 0.7652,                 0.8427,                0.47552,                0.56403,                0.68555,                0.34425,                0.78328,              0.0006536,              0.0006536,              0.0006536
                     70,                 0.5992,                0.57983,                0.32827,                 0.7775,                0.99582,                0.82953,                0.91351,                0.77678,                 0.9201,                 0.7653,                0.84723,                0.47603,                0.57916,                0.68858,                0.34429,                0.78312,              0.0006338,              0.0006338,              0.0006338
                     71,                0.61086,                0.58298,                0.33312,                0.77777,                0.99628,                0.83019,                0.91272,                0.77736,                0.92124,                 0.7668,                0.84056,                0.46958,                 0.5867,                 0.7465,                0.36064,                  0.785,               0.000614,               0.000614,               0.000614
                     72,                0.58525,                0.57253,                0.32652,                0.77704,                0.99552,                0.82613,                0.91281,                0.76232,                 0.9233,                0.76619,                0.84603,                0.47979,                0.61064,                0.79045,                0.36502,                0.78634,              0.0005942,              0.0005942,              0.0005942
                     73,                0.60028,                0.58041,                0.32363,                0.77806,                0.99559,                 0.8301,                0.91347,                0.77723,                0.92023,                0.76612,                0.84835,                0.48256,                0.59464,                0.67894,                0.34714,                0.78334,              0.0005744,              0.0005744,              0.0005744
                     74,                0.60599,                0.58036,                0.32388,                0.77769,                0.99466,                0.81171,                0.90546,                0.75709,                0.91682,                 0.7483,                0.84231,                0.48298,                0.62452,                0.71198,                0.37932,                0.78527,              0.0005546,              0.0005546,              0.0005546
                     75,                0.59594,                0.57503,                0.32282,                0.77678,                0.99577,                0.83005,                0.91231,                0.77875,                0.92654,                0.77113,                0.84965,                0.47603,                0.56558,                0.66658,                 0.3451,                0.78284,              0.0005348,              0.0005348,              0.0005348
                     76,                 0.5771,                0.55852,                0.31804,                 0.7776,                0.99578,                0.83027,                0.91364,                0.78834,                0.92409,                0.76927,                 0.8452,                0.48013,                0.54206,                0.76763,                  0.338,                0.78318,               0.000515,               0.000515,               0.000515
                     77,                0.57107,                0.55235,                0.31769,                0.77675,                0.99587,                0.83051,                0.91179,                0.80737,                0.92667,                0.77191,                0.84685,                0.48941,                0.47114,                0.65236,                0.32294,                0.77958,              0.0004952,              0.0004952,              0.0004952
                     78,                0.58018,                0.56272,                0.31873,                0.77601,                0.99602,                0.83033,                0.91166,                0.79494,                0.92555,                0.77077,                0.84763,                0.49447,                0.48903,                0.62892,                0.32698,                0.77775,              0.0004754,              0.0004754,              0.0004754
                     79,                0.57797,                0.55834,                0.31742,                0.77649,                0.99569,                0.83008,                0.91194,                0.76973,                0.91991,                0.76612,                0.83489,                0.46619,                0.61244,                  0.734,                0.37352,                0.78514,              0.0004556,              0.0004556,              0.0004556
