                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     40,                 0.7062,                0.62662,                0.35399,                0.78806,                0.99546,                0.82956,                0.90448,                 0.7414,                0.92026,                0.76678,                0.85027,                0.47544,                0.74201,                0.69499,                0.37547,                0.79484,               0.008713,               0.008713,               0.008713
                     41,                0.71333,                0.63623,                0.35349,                0.78834,                 0.9914,                0.82332,                 0.9066,                0.78083,                 0.9202,                0.75795,                0.85461,                 0.4853,                0.60007,                0.66285,                0.33456,                 0.7914,                0.00868,                0.00868,                0.00868
                     42,                0.70924,                0.63036,                0.35132,                0.78908,                0.99574,                0.82959,                0.91192,                0.81686,                 0.9262,                0.77062,                 0.8653,                0.52125,                  0.483,                0.59577,                0.31502,                0.78392,               0.008647,               0.008647,               0.008647
                     43,                0.69892,                0.61657,                0.34832,                0.78814,                0.99591,                0.82937,                0.91233,                0.79563,                0.92545,                0.76912,                0.86063,                0.50053,                0.55827,                0.63352,                0.32072,                0.78801,               0.008614,               0.008614,               0.008614
                     44,                0.69059,                0.62194,                0.34535,                0.78827,                0.99627,                0.83008,                0.91327,                0.80012,                0.92545,                0.77062,                 0.8666,                 0.5167,                0.52673,                0.63498,                0.31755,                0.78606,               0.008581,               0.008581,               0.008581
                     45,                0.70088,                0.62827,                0.34761,                0.78709,                0.99584,                0.82972,                0.89262,                0.77378,                0.92966,                0.77358,                0.84173,                0.47751,                0.56406,                0.63866,                 0.3218,                0.78738,               0.008548,               0.008548,               0.008548
                     46,                 0.7017,                0.62479,                0.35087,                0.78725,                0.99599,                0.82968,                0.91258,                0.80949,                0.92578,                0.77085,                0.86431,                0.50896,                0.51354,                 0.6198,                0.31957,                0.78521,               0.008515,               0.008515,               0.008515
                     47,                0.70643,                0.63357,                0.34833,                0.78692,                0.99566,                0.82953,                0.91077,                0.78489,                 0.9199,                0.76597,                0.85786,                0.50359,                 0.6026,                0.64591,                0.33597,                0.78732,               0.008482,               0.008482,               0.008482
                     48,                0.68211,                0.61377,                0.34142,                 0.7863,                0.99587,                0.82979,                0.91326,                0.79474,                0.92779,                0.77282,                0.86766,                0.50429,                0.61121,                0.64593,                0.33274,                0.79065,               0.008449,               0.008449,               0.008449
                     49,                0.70088,                0.63087,                0.34912,                0.78685,                  0.996,                0.83064,                0.91383,                0.80762,                0.92865,                0.77314,                0.86814,                0.52201,                0.53946,                0.60423,                0.32064,                0.78612,               0.008416,               0.008416,               0.008416
                     50,                0.68579,                0.60879,                0.34106,                0.78555,                0.99584,                 0.8301,                0.91308,                0.80396,                0.92692,                0.77263,                0.86528,                0.51093,                0.51929,                0.61372,                0.30653,                0.78523,               0.008383,               0.008383,               0.008383
                     51,                0.67243,                0.60298,                0.33495,                0.78586,                0.99455,                0.82868,                0.91134,                 0.8001,                0.92295,                0.76859,                0.86208,                0.50678,                0.54906,                0.64694,                0.31755,                0.78714,                0.00835,                0.00835,                0.00835
                     52,                0.68473,                0.61601,                0.33891,                 0.7866,                0.99537,                0.82953,                0.91327,                0.77608,                0.92075,                0.76665,                0.86011,                0.48382,                0.62098,                0.65924,                0.32288,                0.79011,               0.008317,               0.008317,               0.008317
                     53,                0.68121,                0.61104,                0.33749,                0.78599,                0.99611,                0.82979,                0.91303,                0.79305,                0.92534,                0.77005,                0.86499,                0.50266,                0.55996,                  0.637,                0.32093,                0.78692,               0.008284,               0.008284,               0.008284
                     54,                0.66143,                0.59592,                0.33222,                0.78535,                0.99576,                0.82953,                0.91323,                0.81104,                0.92533,                0.77026,                0.86595,                0.51551,                0.53734,                0.62877,                0.32151,                0.78439,               0.008251,               0.008251,               0.008251
                     55,                0.67364,                 0.6035,                0.33429,                0.78547,                0.99599,                 0.8296,                0.91194,                0.81143,                0.92792,                0.77276,                0.86531,                 0.5022,                0.50064,                0.64163,                0.29856,                0.78441,               0.008218,               0.008218,               0.008218
                     56,                0.66641,                0.59419,                 0.3299,                0.78529,                0.99647,                0.82949,                0.91211,                0.81369,                0.93051,                0.77381,                0.86876,                0.52436,                0.53631,                0.58903,                0.30955,                0.78513,               0.008185,               0.008185,               0.008185
                     57,                0.65607,                0.58822,                0.32824,                0.78405,                0.99565,                0.82979,                0.91388,                0.82851,                0.93236,                0.77654,                0.87102,                0.52601,                0.45497,                0.56482,                0.28719,                0.78174,               0.008152,               0.008152,               0.008152
