                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                 1.2342,                 2.5795,                0.54454,                0.81583,                0.97126,                0.51291,                0.67004,                0.53663,                 0.7804,                0.41291,                0.50958,                0.21198,                 1.0676,                 2.6756,                0.53034,                0.82733,              0.0010892,              0.0010892,              0.0010892
                     94,                 1.2115,                 2.5516,                 0.5308,                0.81303,                0.97299,                0.51311,                0.67187,                0.54539,                0.78772,                0.41598,                0.51778,                0.21936,                 1.0369,                 2.6552,                0.52218,                0.82587,              0.0010793,              0.0010793,              0.0010793
                     95,                 1.2325,                 2.5799,                0.53883,                0.81414,                0.97232,                0.51224,                0.67038,                0.53357,                0.78421,                0.41381,                0.51266,                 0.2139,                 1.0791,                 2.6831,                0.52779,                0.82719,              0.0010694,              0.0010694,              0.0010694
                     96,                 1.2265,                 2.5718,                0.53633,                0.81313,                0.97248,                0.51352,                0.67208,                0.54386,                 0.7916,                0.41852,                0.52259,                0.22336,                  1.049,                 2.6595,                0.52586,                0.82614,              0.0010595,              0.0010595,              0.0010595
                     97,                 1.2285,                 2.5884,                0.53828,                0.81402,                0.97262,                0.51321,                0.67119,                0.53667,                0.78234,                0.41406,                0.51298,                0.21542,                 1.0697,                 2.6709,                0.54027,                0.82696,              0.0010496,              0.0010496,              0.0010496
                     98,                 1.2329,                  2.577,                0.54187,                0.81347,                0.97308,                0.51339,                0.67147,                0.54156,                0.78938,                0.41693,                0.51691,                0.21847,                 1.0536,                 2.6643,                0.52999,                0.82637,              0.0010397,              0.0010397,              0.0010397
                     99,                 1.2328,                 2.5728,                0.53911,                0.81439,                0.97432,                0.51261,                0.67061,                0.54601,                0.79632,                0.42018,                0.52391,                 0.2252,                  1.029,                 2.6432,                0.52207,                0.82609,              0.0010298,              0.0010298,              0.0010298
                    100,                 1.2163,                 2.5705,                0.53741,                0.81417,                0.97322,                0.51329,                0.67136,                0.54204,                0.79648,                 0.4204,                0.52321,                 0.2244,                 1.0492,                 2.6594,                0.52577,                  0.826,              0.0010199,              0.0010199,              0.0010199
                    101,                 1.2307,                 2.5789,                0.54114,                0.81353,                0.97435,                0.51313,                0.67101,                0.54537,                0.79057,                0.41773,                 0.5216,                0.22175,                  1.034,                 2.6488,                0.52185,                0.82547,                0.00101,                0.00101,                0.00101
                    102,                  1.216,                 2.5662,                0.53424,                 0.8128,                0.97261,                0.51302,                0.67158,                 0.5382,                0.79435,                0.42023,                  0.523,                0.22335,                 1.0635,                 2.6935,                 0.5332,                0.82636,              0.0010001,              0.0010001,              0.0010001
                    103,                 1.2395,                 2.6034,                0.54857,                0.81541,                0.97343,                0.51322,                0.67092,                0.54032,                 0.7982,                0.42224,                0.52656,                0.22673,                 1.0556,                 2.6763,                0.53467,                0.82641,              0.0009902,              0.0009902,              0.0009902
                    104,                 1.2165,                 2.5706,                0.53747,                0.81402,                 0.9731,                 0.5132,                0.67128,                0.54144,                0.79056,                0.41751,                0.51788,                0.21978,                 1.0489,                  2.654,                0.52805,                0.82631,              0.0009803,              0.0009803,              0.0009803
                    105,                 1.2193,                 2.5821,                0.54007,                0.81435,                0.97383,                0.51347,                0.67068,                  0.548,                 0.7964,                0.42124,                0.52327,                0.22339,                 1.0197,                 2.6308,                0.52225,                0.82568,              0.0009704,              0.0009704,              0.0009704
                    106,                 1.2143,                 2.5799,                0.53801,                0.81501,                0.97256,                0.51295,                0.67027,                0.53561,                0.78538,                0.41485,                0.51328,                0.21486,                 1.0642,                 2.6647,                0.53336,                0.82609,              0.0009605,              0.0009605,              0.0009605
